Role,Name,SMILES,Ratio
C1 synthon,methyl iodide,CI,8.0
reactant,"(1R,2S,4aS,10aR)-1-(Hydroxymethyl)-7-isopropyl-5,6,8-trimethoxy-1,4a-dimethyl-1,2,3,4,4a,9,10,10a-octahydrophenanthren-2-ol",OC[C@@]1([C@H](CC[C@@]2(C3=C(C(=C(C(=C3CC[C@@H]12)OC)C(C)C)OC)OC)C)O)C,1.0
solvent,tetrahydrofuran,C1CCCO1,107
base,sodium hydride,[H-].[Na+],4.0
building block,carbon disulfide,C(=S)=S,6.0
product,"O-(((1R,2S,4aS,10aR)-7-Isopropyl-5,6,8-trimethoxy-1,4a-dimethyl-2-(((methylthio)carbonothioyl)oxy)-1,2,3,4,4a,9,10,10a-octahydrophenanthren-1-yl)methyl) S-methyl carbonodithioate",C(OC[C@@]1([C@H](CC[C@@]2(C3=C(C(=C(C(=C3CC[C@@H]12)OC)C(C)C)OC)OC)C)OC(=S)SC)C)(=S)SC,

==================================================

DOI:,10.1021/jacsau.4c01276
Details URL:,https://kmt.vander-lingen.nl/data/reaction/profile/983114d9e174bb55a57f8b228058c0e7
Overall Reaction SMILES:,C(OC[C@@]1([C@H](CC[C@@]2(C3=C(C(=C(C(=C3CC[C@@H]12)OC)C(C)C)OC)OC)C)OC(=S)SC)C)(=S)SC>C1(=CC=CC=C1)C.CC(C)(C#N)/N=N/C(C)(C)C#N.C(CCC)[SnH](CCCC)CCCC>C(C)(C)C1=C(C(=C2[C@]3(CCCC([C@@H]3CCC2=C1OC)(C)C)C)OC)OC
Role,Name,SMILES,Ratio
reactant,"O-(((1R,2S,4aS,10aR)-7-Isopropyl-5,6,8-trimethoxy-1,4a-dimethyl-2-(((methylthio)carbonothioyl)oxy)-1,2,3,4,4a,9,10,10a-octahydrophenanthren-1-yl)methyl) S-methyl carbonodithioate",C(OC[C@@]1([C@H](CC[C@@]2(C3=C(C(=C(C(=C3CC[C@@H]12)OC)C(C)C)OC)OC)C)OC(=S)SC)C)(=S)SC,1.0
solvent,toluene,C1(=CC=CC=C1)C,72.6
radical initiator,Azobisisobutyronitrile,CC(C)(C#N)/N=N/C(C)(C)C#N,0.6
reagent,tri-n-butyltin hydride,C(CCC)[SnH](CCCC)CCCC,6.0
product,"(4aS,10aS)-7-Isopropyl-5,6,8-trimethoxy-1,1,4a-trimethyl-1,2,3,4,4a,9,10,10a-octahydrophenanthrene",C(C)(C)C1=C(C(=C2[C@]3(CCCC([C@@H]3CCC2=C1OC)(C)C)C)OC)OC,

==================================================

DOI:,10.1021/jacsau.4c01276
